,direct_reply,year,month_sin,month_cos,time_since_posted,is_quote,hashtags,user_mentions,medias,urls,english,favourites,happy_words,sad_words,retweets
6356,0,2018,1,6.12323399573677E-17,1138128.059793,0,0,1,0,0,1,0,0,0,15624
529,0,2018,1,6.12323399573677E-17,1347607.611278,0,0,1,1,0,0,0,0,0,15423
9924,0,2018,0.8660254038,-0.5,76526.472809,1,0,2,0,0,1,0,0,0,15394
1939,0,2018,0.8660254038,-0.5,75482.546439,1,0,2,0,0,1,0,0,0,15373
5055,0,2018,0.8660254038,-0.5,14232.782574,0,0,1,0,0,1,0,1,0,15086
7187,0,2018,1,6.12323399573677E-17,2033145.091083,0,0,1,0,0,1,0,0,1,14949
6342,0,2018,1,6.12323399573677E-17,787152.708066,0,0,1,0,0,1,0,0,0,14824
5054,0,2018,0.8660254038,-0.5,14103.780187,0,0,1,1,0,1,0,0,0,14298
8247,0,2018,0.8660254038,-0.5,620294.802319,0,0,1,1,0,1,0,0,0,13990
9390,0,2018,0.5,0.8660254038,6008547.446692,0,0,1,0,0,1,0,1,0,13933
4464,0,2018,0.8660254038,-0.5,262222.100158,1,0,0,0,1,1,31594,0,1,13924
10309,0,2018,1,6.12323399573677E-17,1780143.492219,0,0,1,0,0,1,0,1,0,13909
4696,0,2018,0.8660254038,-0.5,428417.476567,0,0,1,0,0,1,0,0,1,13882
6432,0,2017,-2.44929359829471E-16,1,10076948.360165,0,0,2,0,0,1,0,0,1,13032
9100,0,2018,0.8660254038,-0.5,46471.268291,0,0,1,1,0,1,0,1,0,12707
9891,0,2018,0.8660254038,-0.5,253505.458696,0,0,1,1,1,1,0,0,0,12535
3898,0,2017,-0.8660254038,0.5,14560287.208053,0,0,1,0,0,1,0,1,0,12431
7126,0,2018,0.8660254038,-0.5,604690.783292,1,0,1,0,0,1,0,2,1,12421
10119,0,2018,1,6.12323399573677E-17,1100659.443826,0,0,1,0,1,1,0,0,0,12071
1471,0,2018,0.8660254038,-0.5,595393.019948,0,0,1,0,0,1,0,1,0,11887
6276,0,2018,1,6.12323399573677E-17,1556466.246242,0,0,1,0,0,1,0,0,3,11722
4735,0,2018,1,6.12323399573677E-17,2118261.101571,0,0,2,0,0,1,0,1,0,11492
7426,0,2018,1,6.12323399573677E-17,1514066.450062,0,0,2,0,0,1,0,1,0,11492
5578,0,2018,0.8660254038,0.5,5351455.90431,0,0,1,0,0,1,0,0,2,11488
2299,0,2018,0.8660254038,-0.5,332591.032609,0,0,1,1,0,1,0,0,0,11434
1001,0,2018,1,6.12323399573677E-17,1899481.529043,1,0,1,0,0,1,0,0,2,10893
7107,0,2018,0.8660254038,-0.5,337451.1876,0,0,1,0,0,1,0,0,1,10827
2190,0,2017,0.5,-0.8660254038,28261193.084721,0,0,1,0,0,1,0,0,1,10800
4491,0,2018,1,6.12323399573677E-17,850254.378469,0,0,0,0,1,1,19376,0,0,10225
5104,0,2018,0.8660254038,-0.5,349460.656713,0,0,1,0,0,1,0,2,1,9882
3160,0,2018,0.8660254038,-0.5,605383.867989,0,0,1,0,0,1,0,0,0,9726
4111,0,2018,0.8660254038,-0.5,607440.123381,0,0,1,0,0,1,0,0,0,9726
10075,0,2018,0.8660254038,-0.5,91422.450904,0,0,1,0,0,1,0,0,0,9674
2340,0,2018,0.8660254038,0.5,3618026.614349,1,0,1,0,1,1,0,2,0,9629
